,name,doi_link,doi,link1
183,FOJVUX,http://dx.doi.org/10.1016/j.inoche.2014.02.051,j.inoche.2014.02.051,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2014.02.051.pdf
184,FOKWIN,http://dx.doi.org/10.1016/j.inoche.2014.04.021,j.inoche.2014.04.021,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2014.04.021.pdf
185,FOKYEL,http://dx.doi.org/10.1016/j.inoche.2014.04.016,j.inoche.2014.04.016,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2014.04.016.pdf
186,FONKEA,http://dx.doi.org/10.1039/C4CE01602E,C4CE01602E,http://sunie.top:9009/Server/material/core_qmof_pdf/C4CE01602E.pdf
187,FUMHEC,http://dx.doi.org/10.1080/15533174.2013.865228,15533174.2013.865228,http://sunie.top:9009/Server/material/core_qmof_pdf/15533174.2013.865228.pdf
188,FUNBAS,http://dx.doi.org/10.1021/ja909519e,ja909519e,http://sunie.top:9009/Server/material/core_qmof_pdf/ja909519e.pdf
189,FURFOP,http://dx.doi.org/10.1016/j.molstruc.2015.08.068,j.molstruc.2015.08.068,http://sunie.top:9009/Server/material/core_qmof_pdf/j.molstruc.2015.08.068.pdf
190,FURSES,http://dx.doi.org/10.1039/C5RA15937G,C5RA15937G,http://sunie.top:9009/Server/material/core_qmof_pdf/C5RA15937G.pdf
191,FUYYAA,http://dx.doi.org/10.1016/j.inoche.2010.04.027,j.inoche.2010.04.027,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2010.04.027.pdf
192,GACPUX,http://dx.doi.org/10.1002/chem.201000522,chem.201000522,http://sunie.top:9009/Server/material/core_qmof_pdf/chem.201000522.pdf
193,GADDOH,http://dx.doi.org/10.1039/C5DT04687D,C5DT04687D,http://sunie.top:9009/Server/material/core_qmof_pdf/C5DT04687D.pdf
194,GAJTOC,http://dx.doi.org/10.1016/j.ica.2010.06.045,j.ica.2010.06.045,http://sunie.top:9009/Server/material/core_qmof_pdf/j.ica.2010.06.045.pdf
195,GARMAQ,http://dx.doi.org/10.1021/acs.cgd.7b00112,acs.cgd.7b00112,http://sunie.top:9009/Server/material/core_qmof_pdf/acs.cgd.7b00112.pdf
196,GASSUR,http://dx.doi.org/10.1021/acs.cgd.7b00042,acs.cgd.7b00042,http://sunie.top:9009/Server/material/core_qmof_pdf/acs.cgd.7b00042.pdf
197,GATHAL,http://dx.doi.org/10.1039/b506677h,b506677h,http://sunie.top:9009/Server/material/core_qmof_pdf/b506677h.pdf
198,GAWCUF,http://dx.doi.org/10.1039/C7NJ00188F,C7NJ00188F,http://sunie.top:9009/Server/material/core_qmof_pdf/C7NJ00188F.pdf
199,GAXGOD,http://dx.doi.org/10.1039/c2ce25099c,c2ce25099c,http://sunie.top:9009/Server/material/core_qmof_pdf/c2ce25099c.pdf
200,GEDLIM,http://dx.doi.org/10.1021/ic300235s,ic300235s,http://sunie.top:9009/Server/material/core_qmof_pdf/ic300235s.pdf
201,GEFZAU,http://dx.doi.org/10.1021/cm202608f,cm202608f,http://sunie.top:9009/Server/material/core_qmof_pdf/cm202608f.pdf
202,GELJAJ,http://dx.doi.org/10.1016/j.poly.2006.01.031,j.poly.2006.01.031,http://sunie.top:9009/Server/material/core_qmof_pdf/j.poly.2006.01.031.pdf
203,GELVID,http://dx.doi.org/10.1016/j.solidstatesciences.2006.04.013,j.solidstatesciences.2006.04.013,http://sunie.top:9009/Server/material/core_qmof_pdf/j.solidstatesciences.2006.04.013.pdf
204,GEPDEM,http://dx.doi.org/10.1016/j.inoche.2012.09.024,j.inoche.2012.09.024,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2012.09.024.pdf
205,GERNOI,http://dx.doi.org/10.1071/CH12270,CH12270,http://sunie.top:9009/Server/material/core_qmof_pdf/CH12270.pdf
206,GIRYIR,http://dx.doi.org/10.1039/C3CC49106D,C3CC49106D,http://sunie.top:9009/Server/material/core_qmof_pdf/C3CC49106D.pdf
207,GISMIG,http://dx.doi.org/10.5012/bkcs.2013.34.9.2800,bkcs.2013.34.9.2800,http://sunie.top:9009/Server/material/core_qmof_pdf/bkcs.2013.34.9.2800.pdf
208,GISWEM,http://dx.doi.org/10.1039/C3CE42203H,C3CE42203H,http://sunie.top:9009/Server/material/core_qmof_pdf/C3CE42203H.pdf
209,GITZAM,http://dx.doi.org/10.1039/C3CE42339E,C3CE42339E,http://sunie.top:9009/Server/material/core_qmof_pdf/C3CE42339E.pdf
210,GIXNAE,http://dx.doi.org/10.1016/j.jssc.2013.11.011,j.jssc.2013.11.011,http://sunie.top:9009/Server/material/core_qmof_pdf/j.jssc.2013.11.011.pdf
211,GOJDOZ,http://dx.doi.org/10.1021/cg800389g,cg800389g,http://sunie.top:9009/Server/material/core_qmof_pdf/cg800389g.pdf
212,GOLQII,http://dx.doi.org/10.1107/S1600536809005947,S1600536809005947,http://sunie.top:9009/Server/material/core_qmof_pdf/S1600536809005947.pdf
213,GONNAA,http://dx.doi.org/10.1039/C4DT01022A,C4DT01022A,http://sunie.top:9009/Server/material/core_qmof_pdf/C4DT01022A.pdf
214,GONTAG,http://dx.doi.org/10.1039/C4CE01019A,C4CE01019A,http://sunie.top:9009/Server/material/core_qmof_pdf/C4CE01019A.pdf
215,GOQXAN,http://dx.doi.org/10.1007/s12039-014-0714-9,s12039-014-0714-9,http://sunie.top:9009/Server/material/core_qmof_pdf/s12039-014-0714-9.pdf
216,GUBVUU,http://dx.doi.org/10.1021/ja982577a,ja982577a,http://sunie.top:9009/Server/material/core_qmof_pdf/ja982577a.pdf
217,GUFXEM,http://dx.doi.org/10.1002/zaac.201400474,zaac.201400474,http://sunie.top:9009/Server/material/core_qmof_pdf/zaac.201400474.pdf
218,GULPIN,http://dx.doi.org/10.1016/j.inoche.2009.04.010,j.inoche.2009.04.010,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2009.04.010.pdf
219,GUMDEZ,http://dx.doi.org/10.1007/s40242-014-3501-8,s40242-014-3501-8,http://sunie.top:9009/Server/material/core_qmof_pdf/s40242-014-3501-8.pdf
220,GUPJEG,http://dx.doi.org/10.1002/1521-3749(200102)627:2%3C131::AID-ZAAC131%3E3.3.CO;2-R,1521-3749(200102)627:2%3C131::AID-ZAAC131%3E3.3.CO;2-R,http://sunie.top:9009/Server/material/core_qmof_pdf/1521-3749(200102)627:2%3C131::AID-ZAAC131%3E3.3.CO;2-R.pdf
221,GUQWOG,http://dx.doi.org/10.1021/acs.inorgchem.5b02739,acs.inorgchem.5b02739,http://sunie.top:9009/Server/material/core_qmof_pdf/acs.inorgchem.5b02739.pdf
222,GURZID,http://dx.doi.org/10.1016/j.ica.2009.12.026,j.ica.2009.12.026,http://sunie.top:9009/Server/material/core_qmof_pdf/j.ica.2009.12.026.pdf
223,GURZID01,http://dx.doi.org/10.1016/j.ica.2013.09.026,j.ica.2013.09.026,http://sunie.top:9009/Server/material/core_qmof_pdf/j.ica.2013.09.026.pdf
224,GUSCIH,http://dx.doi.org/10.1016/j.ica.2009.12.022,j.ica.2009.12.022,http://sunie.top:9009/Server/material/core_qmof_pdf/j.ica.2009.12.022.pdf
225,HABRIN,http://dx.doi.org/10.1002/anie.201001675,anie.201001675,http://sunie.top:9009/Server/material/core_qmof_pdf/anie.201001675.pdf
226,HAJJAE,http://dx.doi.org/10.1039/b406883a,b406883a,http://sunie.top:9009/Server/material/core_qmof_pdf/b406883a.pdf
227,HAJLIO,http://dx.doi.org/10.1039/b409543j,b409543j,http://sunie.top:9009/Server/material/core_qmof_pdf/b409543j.pdf
228,HAKWUM,http://dx.doi.org/10.1021/cm049607v,cm049607v,http://sunie.top:9009/Server/material/core_qmof_pdf/cm049607v.pdf
229,HALVAU,http://dx.doi.org/10.1039/C6DT04270H,C6DT04270H,http://sunie.top:9009/Server/material/core_qmof_pdf/C6DT04270H.pdf
230,HAPGIR,http://dx.doi.org/10.1002/zaac.201700032,zaac.201700032,http://sunie.top:9009/Server/material/core_qmof_pdf/zaac.201700032.pdf
231,HARNAR,http://dx.doi.org/10.1039/c2nj20888a,c2nj20888a,http://sunie.top:9009/Server/material/core_qmof_pdf/c2nj20888a.pdf
232,HAWREE,http://dx.doi.org/10.1021/ic2021929,ic2021929,http://sunie.top:9009/Server/material/core_qmof_pdf/ic2021929.pdf
233,HAWZEM,http://dx.doi.org/10.1016/j.inoche.2011.12.041,j.inoche.2011.12.041,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2011.12.041.pdf
234,HAZNON,http://dx.doi.org/10.1002/chem.201200909,chem.201200909,http://sunie.top:9009/Server/material/core_qmof_pdf/chem.201200909.pdf
235,HEBJAB,http://dx.doi.org/10.1021/cg300829c,cg300829c,http://sunie.top:9009/Server/material/core_qmof_pdf/cg300829c.pdf
236,HEBKEG,http://dx.doi.org/10.1021/cg3008443,cg3008443,http://sunie.top:9009/Server/material/core_qmof_pdf/cg3008443.pdf
237,HEBTEP,http://dx.doi.org/10.1016/j.solidstatesciences.2012.07.011,j.solidstatesciences.2012.07.011,http://sunie.top:9009/Server/material/core_qmof_pdf/j.solidstatesciences.2012.07.011.pdf
238,HEDCIE,http://dx.doi.org/10.1021/ic300778m,ic300778m,http://sunie.top:9009/Server/material/core_qmof_pdf/ic300778m.pdf
239,HEDGUS,http://dx.doi.org/10.1002/(SICI)1521-3773(19990115)38:1/2%3C140::AID-ANIE140%3E3.0.CO;2-9,(SICI)1521-3773(19990115)38:1,http://sunie.top:9009/Server/material/core_qmof_pdf/(SICI)1521-3773(19990115)38:1.pdf
240,HENYUV,http://dx.doi.org/10.1021/ja060946u,ja060946u,http://sunie.top:9009/Server/material/core_qmof_pdf/ja060946u.pdf
241,HIMSAY,http://dx.doi.org/10.1021/ja073505z,ja073505z,http://sunie.top:9009/Server/material/core_qmof_pdf/ja073505z.pdf
242,HIQNIG,http://dx.doi.org/10.1021/cg400579w,cg400579w,http://sunie.top:9009/Server/material/core_qmof_pdf/cg400579w.pdf
243,HIWXER,http://dx.doi.org/10.1002/ejic.200701083,ejic.200701083,http://sunie.top:9009/Server/material/core_qmof_pdf/ejic.200701083.pdf
244,HIYBUN,http://dx.doi.org/10.1002/anie.200704809,anie.200704809,http://sunie.top:9009/Server/material/core_qmof_pdf/anie.200704809.pdf
245,HIYZEV01,http://dx.doi.org/10.1016/j.jssc.2011.10.051,j.jssc.2011.10.051,http://sunie.top:9009/Server/material/core_qmof_pdf/j.jssc.2011.10.051.pdf
246,HIZQEN,http://dx.doi.org/10.1039/b718947h,b718947h,http://sunie.top:9009/Server/material/core_qmof_pdf/b718947h.pdf
247,HIZQEN01,http://dx.doi.org/10.1002/adom.201500666,adom.201500666,http://sunie.top:9009/Server/material/core_qmof_pdf/adom.201500666.pdf
248,HOGQIF,http://dx.doi.org/10.1039/C4CE01139B,C4CE01139B,http://sunie.top:9009/Server/material/core_qmof_pdf/C4CE01139B.pdf
249,HOGSIG,http://dx.doi.org/10.1039/b812402g,b812402g,http://sunie.top:9009/Server/material/core_qmof_pdf/b812402g.pdf
250,HOHJAR,http://dx.doi.org/10.1039/C4CE01414F,C4CE01414F,http://sunie.top:9009/Server/material/core_qmof_pdf/C4CE01414F.pdf
251,HOJLEY,http://dx.doi.org/10.1021/cg800743a,cg800743a,http://sunie.top:9009/Server/material/core_qmof_pdf/cg800743a.pdf
252,HOQMIL04,http://dx.doi.org/10.1038/ncomms6851,ncomms6851,http://sunie.top:9009/Server/material/core_qmof_pdf/ncomms6851.pdf
253,HOTWUJ,http://dx.doi.org/10.1039/b804956d,b804956d,http://sunie.top:9009/Server/material/core_qmof_pdf/b804956d.pdf
254,HOXKUB,http://dx.doi.org/10.1021/cg800531y,cg800531y,http://sunie.top:9009/Server/material/core_qmof_pdf/cg800531y.pdf
255,HOXSIY,http://dx.doi.org/10.1002/zaac.201400213,zaac.201400213,http://sunie.top:9009/Server/material/core_qmof_pdf/zaac.201400213.pdf
256,HOYROE,http://dx.doi.org/10.1039/C5CE00305A,C5CE00305A,http://sunie.top:9009/Server/material/core_qmof_pdf/C5CE00305A.pdf
257,HUCLIB,http://dx.doi.org/10.1107/S1600536809032115,S1600536809032115,http://sunie.top:9009/Server/material/core_qmof_pdf/S1600536809032115.pdf
258,HUHJAW,http://dx.doi.org/10.1021/cg8010629,cg8010629,http://sunie.top:9009/Server/material/core_qmof_pdf/cg8010629.pdf
259,HUSQES,http://dx.doi.org/10.1039/b922732f,b922732f,http://sunie.top:9009/Server/material/core_qmof_pdf/b922732f.pdf
260,IBOZIK,http://dx.doi.org/10.1039/c1ce05549f,c1ce05549f,http://sunie.top:9009/Server/material/core_qmof_pdf/c1ce05549f.pdf
261,ICEGED,http://dx.doi.org/10.1021/ic0492946,ic0492946,http://sunie.top:9009/Server/material/core_qmof_pdf/ic0492946.pdf
262,ICIZAV,http://dx.doi.org/10.1021/ic010609g,ic010609g,http://sunie.top:9009/Server/material/core_qmof_pdf/ic010609g.pdf
263,IDAZEU,http://dx.doi.org/10.1107/S1600536811046022,S1600536811046022,http://sunie.top:9009/Server/material/core_qmof_pdf/S1600536811046022.pdf
264,IDEYOF,http://dx.doi.org/10.1021/ic0106017,ic0106017,http://sunie.top:9009/Server/material/core_qmof_pdf/ic0106017.pdf
265,IGUCIY,http://dx.doi.org/10.1002/zaac.201200428,zaac.201200428,http://sunie.top:9009/Server/material/core_qmof_pdf/zaac.201200428.pdf
266,IGUTUB,http://dx.doi.org/10.1038/ncomms7917,ncomms7917,http://sunie.top:9009/Server/material/core_qmof_pdf/ncomms7917.pdf
267,IHECAB,http://dx.doi.org/10.1007/s10904-014-0076-2,s10904-014-0076-2,http://sunie.top:9009/Server/material/core_qmof_pdf/s10904-014-0076-2.pdf
268,IHERIY,http://dx.doi.org/10.1007/s10904-014-0045-9,s10904-014-0045-9,http://sunie.top:9009/Server/material/core_qmof_pdf/s10904-014-0045-9.pdf
269,IHUTIQ,http://dx.doi.org/10.1016/j.molstruc.2015.03.040,j.molstruc.2015.03.040,http://sunie.top:9009/Server/material/core_qmof_pdf/j.molstruc.2015.03.040.pdf
270,IJEXUR,http://dx.doi.org/10.1039/c0ce00315h,c0ce00315h,http://sunie.top:9009/Server/material/core_qmof_pdf/c0ce00315h.pdf
271,IJODES,http://dx.doi.org/10.1071/CH15185,CH15185,http://sunie.top:9009/Server/material/core_qmof_pdf/CH15185.pdf
272,IKEBUV,http://dx.doi.org/10.1021/ic034346x,ic034346x,http://sunie.top:9009/Server/material/core_qmof_pdf/ic034346x.pdf
273,IKEBUV01,http://dx.doi.org/10.1016/j.molstruc.2005.01.055,j.molstruc.2005.01.055,http://sunie.top:9009/Server/material/core_qmof_pdf/j.molstruc.2005.01.055.pdf
274,ILOJEZ,http://dx.doi.org/10.1039/c0dt00894j,c0dt00894j,http://sunie.top:9009/Server/material/core_qmof_pdf/c0dt00894j.pdf
275,ILOTOT,http://dx.doi.org/10.1021/ic101286j,ic101286j,http://sunie.top:9009/Server/material/core_qmof_pdf/ic101286j.pdf
276,INOMOP,http://dx.doi.org/10.1039/C6SC00972G,C6SC00972G,http://sunie.top:9009/Server/material/core_qmof_pdf/C6SC00972G.pdf
277,INOMOP01,http://dx.doi.org/10.1016/j.molstruc.2016.11.029,j.molstruc.2016.11.029,http://sunie.top:9009/Server/material/core_qmof_pdf/j.molstruc.2016.11.029.pdf
278,IPIFAP,http://dx.doi.org/10.1016/j.inoche.2010.10.015,j.inoche.2010.10.015,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2010.10.015.pdf
279,IPIHIA,http://dx.doi.org/10.1039/C6RA10664A,C6RA10664A,http://sunie.top:9009/Server/material/core_qmof_pdf/C6RA10664A.pdf
280,IPIJEY,http://dx.doi.org/10.1039/C5CE00833F,C5CE00833F,http://sunie.top:9009/Server/material/core_qmof_pdf/C5CE00833F.pdf
281,IQEKUM,http://dx.doi.org/10.1016/j.inoche.2016.06.032,j.inoche.2016.06.032,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2016.06.032.pdf
282,IQUNAJ,http://dx.doi.org/10.1021/cm981155x,cm981155x,http://sunie.top:9009/Server/material/core_qmof_pdf/cm981155x.pdf
283,IROROY,http://dx.doi.org/10.1021/acs.cgd.6b00610,acs.cgd.6b00610,http://sunie.top:9009/Server/material/core_qmof_pdf/acs.cgd.6b00610.pdf
284,ISIMAZ,http://dx.doi.org/10.1039/c1ce05235g,c1ce05235g,http://sunie.top:9009/Server/material/core_qmof_pdf/c1ce05235g.pdf
285,ISUGIN,http://dx.doi.org/10.1039/c0ce00848f,c0ce00848f,http://sunie.top:9009/Server/material/core_qmof_pdf/c0ce00848f.pdf
286,ITIPAE,http://dx.doi.org/10.1016/j.electacta.2016.08.069,j.electacta.2016.08.069,http://sunie.top:9009/Server/material/core_qmof_pdf/j.electacta.2016.08.069.pdf
287,IVARUT,http://dx.doi.org/10.1016/j.molstruc.2011.05.013,j.molstruc.2011.05.013,http://sunie.top:9009/Server/material/core_qmof_pdf/j.molstruc.2011.05.013.pdf
288,IVIXIW,http://dx.doi.org/10.14102/j.cnki.0254-5861.2011-1040,j.cnki.0254-5861.2011-1040,http://sunie.top:9009/Server/material/core_qmof_pdf/j.cnki.0254-5861.2011-1040.pdf
289,IVUVIG,http://dx.doi.org/10.1016/j.jssc.2016.09.011,j.jssc.2016.09.011,http://sunie.top:9009/Server/material/core_qmof_pdf/j.jssc.2016.09.011.pdf
290,IXUWOO,http://dx.doi.org/10.1039/c1cc10411j,c1cc10411j,http://sunie.top:9009/Server/material/core_qmof_pdf/c1cc10411j.pdf
291,IYASOS,http://dx.doi.org/10.1080/15533174.2016.1149721,15533174.2016.1149721,http://sunie.top:9009/Server/material/core_qmof_pdf/15533174.2016.1149721.pdf
292,IYAZAL,http://dx.doi.org/10.1080/15533174.2016.1158187,15533174.2016.1158187,http://sunie.top:9009/Server/material/core_qmof_pdf/15533174.2016.1158187.pdf
293,IYEQUA,http://dx.doi.org/10.1039/C6CE01607C,C6CE01607C,http://sunie.top:9009/Server/material/core_qmof_pdf/C6CE01607C.pdf
294,IYIGEC,http://dx.doi.org/10.1002/ejic.200300813,ejic.200300813,http://sunie.top:9009/Server/material/core_qmof_pdf/ejic.200300813.pdf
295,IYOBAA,http://dx.doi.org/10.1039/c1cc12691a,c1cc12691a,http://sunie.top:9009/Server/material/core_qmof_pdf/c1cc12691a.pdf
296,IZEBEV,http://dx.doi.org/10.1016/j.inoche.2011.03.050,j.inoche.2011.03.050,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2011.03.050.pdf
297,IZUMUM,http://dx.doi.org/10.1021/ic200560b,ic200560b,http://sunie.top:9009/Server/material/core_qmof_pdf/ic200560b.pdf
298,JADJOQ,http://dx.doi.org/10.1134/S0022476615050261,S0022476615050261,http://sunie.top:9009/Server/material/core_qmof_pdf/S0022476615050261.pdf
299,JALPAQ,http://dx.doi.org/10.1080/00958972.2015.1110239,00958972.2015.1110239,http://sunie.top:9009/Server/material/core_qmof_pdf/00958972.2015.1110239.pdf
300,JIVFUQ,http://dx.doi.org/10.1021/ic701628f,ic701628f,http://sunie.top:9009/Server/material/core_qmof_pdf/ic701628f.pdf
301,JOCPIB,http://dx.doi.org/10.1021/ja078074z,ja078074z,http://sunie.top:9009/Server/material/core_qmof_pdf/ja078074z.pdf
302,JOFKIA,http://dx.doi.org/10.1039/C3CE42087F,C3CE42087F,http://sunie.top:9009/Server/material/core_qmof_pdf/C3CE42087F.pdf
303,JOGBIR,http://dx.doi.org/10.1021/ja803021v,ja803021v,http://sunie.top:9009/Server/material/core_qmof_pdf/ja803021v.pdf
304,JOJMEB,http://dx.doi.org/10.1021/cg800029z,cg800029z,http://sunie.top:9009/Server/material/core_qmof_pdf/cg800029z.pdf
305,JOSNAG,http://dx.doi.org/10.1021/ic980014u,ic980014u,http://sunie.top:9009/Server/material/core_qmof_pdf/ic980014u.pdf
306,JOSNAG01,http://dx.doi.org/10.1524/ncrs.2001.216.14.373,ncrs.2001.216.14.373,http://sunie.top:9009/Server/material/core_qmof_pdf/ncrs.2001.216.14.373.pdf
307,JOYKUF,http://dx.doi.org/10.1038/nature14327,nature14327,http://sunie.top:9009/Server/material/core_qmof_pdf/nature14327.pdf
308,JUFREJ,http://dx.doi.org/10.1039/C4DT03797A,C4DT03797A,http://sunie.top:9009/Server/material/core_qmof_pdf/C4DT03797A.pdf
309,JUFZER,http://dx.doi.org/10.1016/j.inoche.2015.03.019,j.inoche.2015.03.019,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2015.03.019.pdf
310,KAFYAT,http://dx.doi.org/10.1016/j.inoche.2010.03.048,j.inoche.2010.03.048,http://sunie.top:9009/Server/material/core_qmof_pdf/j.inoche.2010.03.048.pdf
311,KAJZIH,http://dx.doi.org/10.1039/C5RA23754H,C5RA23754H,http://sunie.top:9009/Server/material/core_qmof_pdf/C5RA23754H.pdf
