,name,doi_link
87,BERGAI,http://dx.doi.org/10.1039/C3CE00049D
88,BEVQID,http://dx.doi.org/10.1016/j.solidstatesciences.2004.03.007
89,BEXRUT,http://dx.doi.org/10.1039/C3CE27023H
90,BIBBUL,http://dx.doi.org/10.1016/j.ica.2013.03.015
91,BIQHEQ,http://dx.doi.org/10.1021/ic401657d
92,BOFCEG,http://dx.doi.org/10.1039/C4CC00553H
93,BOHGOU,http://dx.doi.org/10.1107/S0108270183003510
94,BOJYIK,http://dx.doi.org/10.1007/s10904-014-0025-0
95,BONNIC,http://dx.doi.org/10.1039/b809557d
96,BONWIL,http://dx.doi.org/10.1002/chem.200801948
97,BOWQAG,http://dx.doi.org/10.1016/j.jssc.2008.12.022
98,BUDDIO,http://dx.doi.org/10.1107/S1600536809038756
99,BUKYAJ,http://dx.doi.org/10.1021/acs.cgd.5b00358
100,BUSGIG,http://dx.doi.org/10.1002/zaac.200900304
101,BUSGOM,http://dx.doi.org/10.1002/zaac.200900304
102,BUSQEM,http://dx.doi.org/10.1021/cm101410h
103,BUSQIQ,http://dx.doi.org/10.1021/cm9023106
104,BUSQUC,http://dx.doi.org/10.1021/cm9025683
105,BUVWOF02,http://dx.doi.org/10.1002/chem.201001179
106,BUVWOF03,http://dx.doi.org/10.1002/chem.201001179
107,BUVYIB,http://dx.doi.org/10.1002/chem.201001179
108,CADZIT,http://dx.doi.org/10.1002/chem.201602322
109,CATART03,http://dx.doi.org/10.1154/1.2464129
110,CAVRAU,http://dx.doi.org/10.1039/c2dt12059c
111,CAVREY,http://dx.doi.org/10.1039/c2dt12059c
112,CAWGAJ,http://dx.doi.org/10.1021/ic0507060
113,CAXVII,http://dx.doi.org/10.1039/c2dt12138g
114,CAYDEN,http://dx.doi.org/10.1021/ic2023105
115,CAYDIR,http://dx.doi.org/10.1021/ic2023105
116,CAYSOK,http://dx.doi.org/10.1002/(SICI)1521-3773(19990917)38:18%3C2730::AID-ANIE2730%3E3.3.CO;2-0
117,CAZFOA,http://dx.doi.org/10.1016/j.micromeso.2012.02.042
118,CAZGIT,http://dx.doi.org/10.3891/acta.chem.scand.37b-0707
119,CDLGLU10,http://dx.doi.org/10.1107/S0567740877004683
120,CDLGLU11,http://dx.doi.org/10.1107/S0567740877004683
121,CECVIQ,http://dx.doi.org/10.1002/ejic.200500735
122,CEDFIC,http://dx.doi.org/10.1107/S0108768112032053
123,CEGDUO,http://dx.doi.org/10.1039/b602465c
124,CEHWIX,http://dx.doi.org/10.1016/j.jssc.2012.07.050
125,CEHWOD,http://dx.doi.org/10.1016/j.jssc.2012.07.050
126,CELZEA,http://dx.doi.org/10.1039/C3CE40484F
127,CESYEF,not_exist
128,CESYEF01,http://dx.doi.org/10.1039/c0nj00144a
129,CETFUD,http://dx.doi.org/10.1039/b615696g
130,CETVAA,http://dx.doi.org/10.1039/C3DT50377A
131,CEYPUT01,http://dx.doi.org/10.3866/PKU.WHXB201206123
132,CIGYAU,http://dx.doi.org/10.1016/j.molstruc.2013.04.009
133,CIJVOH,http://dx.doi.org/10.1107/S0108270107027862
134,CILDAD,http://dx.doi.org/10.1039/b708165k
135,CIZMIJ,http://dx.doi.org/10.1039/C4CE00212A
136,CODFEH,http://dx.doi.org/10.1039/b717297d
137,CODSOF,http://dx.doi.org/10.1039/C4CE00093E
138,COKMIA,http://dx.doi.org/10.1039/C4SC02064B
139,COKMOG,http://dx.doi.org/10.1039/C4SC02064B
140,COKMUM,http://dx.doi.org/10.1039/C4SC02064B
141,COKNAT,http://dx.doi.org/10.1039/C4SC02064B
142,COKPEZ,http://dx.doi.org/10.1039/C4SC02064B
143,COKPID,http://dx.doi.org/10.1039/C4SC02064B
144,COKPOJ,http://dx.doi.org/10.1039/C4SC02064B
145,COKPUP,http://dx.doi.org/10.1039/C4SC02064B
146,COMZAH,http://dx.doi.org/10.1016/j.jssc.2013.01.004
147,COSMII,http://dx.doi.org/10.1039/C4CE01326C
148,COWRIR,http://dx.doi.org/10.1002/zaac.201400388
149,COXQUB,http://dx.doi.org/10.1016/S0020-1693(99)00273-X
150,COYCEZ,http://dx.doi.org/10.1021/cg800896k
151,CUCSAU,http://dx.doi.org/10.1039/a909754f
152,CUCTAX,http://dx.doi.org/10.1002/zaac.201400217
153,CUFGOB,http://dx.doi.org/10.1039/C5DT00721F
154,CUFGUH,http://dx.doi.org/10.1039/C5DT00721F
155,CUGFAN,http://dx.doi.org/10.1021/acs.inorgchem.5b00826
156,CUGFAN01,http://dx.doi.org/10.1021/acs.inorgchem.5b00826
157,CUGFOB,http://dx.doi.org/10.1021/acs.inorgchem.5b00826
158,CUGFUH,http://dx.doi.org/10.1021/acs.inorgchem.5b00826
159,CUGLTM01,http://dx.doi.org/10.1016/S0020-1693(98)00224-2
160,CUGVUW,http://dx.doi.org/10.1039/B911955H
161,CUKZOY,http://dx.doi.org/10.1016/j.jssc.2009.07.022
162,CUMJEB,http://dx.doi.org/10.1039/C5CE00939A
163,CUNFOH01,http://dx.doi.org/10.1021/cg900828v
164,CUQRIR,http://dx.doi.org/10.1039/C5CE00887E
165,CUVTUJ,http://dx.doi.org/10.1002/anie.201000094
166,CUWNIT,not_exist
167,CUYHIO,http://dx.doi.org/10.1039/b915889h
168,CUYQIX,http://dx.doi.org/10.1021/cg100006a
169,CUYRUK,http://dx.doi.org/10.1021/cg100020t
170,DACXOV,http://dx.doi.org/10.1002/ejic.200300876
171,DACXUB,http://dx.doi.org/10.1002/ejic.200300876
172,DACYAI,http://dx.doi.org/10.1002/ejic.200300876
173,DAFSEL,http://dx.doi.org/10.1002/anie.201607076
174,DAFSOV,http://dx.doi.org/10.1002/anie.201607076
175,DAJHUS,http://dx.doi.org/10.1002/chem.200400178
176,DALVAQ,http://dx.doi.org/10.1021/acs.inorgchem.6b01845
177,DAMZEZ,http://dx.doi.org/10.1016/j.jssc.2016.10.015
178,DATHAJ,http://dx.doi.org/10.1021/cg2013717
179,DAWCAH,http://dx.doi.org/10.1021/cg201447c
180,DAWDAI,http://dx.doi.org/10.1021/cg201552g
181,DAWWIJ,http://dx.doi.org/10.1021/cg201287t
182,DEFKUU,http://dx.doi.org/10.1107/S0108270185008745
183,DEKHEH,http://dx.doi.org/10.1002/ejic.200501155
184,DEKHUX,http://dx.doi.org/10.1002/ejic.200501155
185,DEQVIF,http://dx.doi.org/10.1002/ejic.200600198
186,DEYJIC,http://dx.doi.org/10.1021/ic302662x
187,DEYXIQ,http://dx.doi.org/10.1039/c3dt50381j
188,DEZKAW,http://dx.doi.org/10.1039/C3CE40565F
189,DIBWUI,http://dx.doi.org/10.1039/c3ce40346g
190,DIBXAP,http://dx.doi.org/10.1039/c3ce40346g
191,DIBXOD,http://dx.doi.org/10.1039/c3ce40346g
192,DIDBEZ,http://dx.doi.org/10.1021/ic301857h
193,DIDDOK,http://dx.doi.org/10.1016/j.jorganchem.2006.07.048
194,DIMDAG,http://dx.doi.org/10.1016/j.jssc.2013.03.030
195,DIMQOH,http://dx.doi.org/10.1016/j.poly.2013.05.003
196,DINNIZ,http://dx.doi.org/10.1016/j.jssc.2013.05.027
197,DITTEH,http://dx.doi.org/10.1016/j.inoche.2013.07.001
198,DOCKOW,http://dx.doi.org/10.1021/cg700740m
199,DOGZIJ,http://dx.doi.org/10.1021/cg701041k
200,DOKDEN,http://dx.doi.org/10.1039/b806616g
201,DONNEA,http://dx.doi.org/10.1021/ic800008f
202,DOQGUM,http://dx.doi.org/10.1039/b814400a
203,DOQHEX,http://dx.doi.org/10.1039/b814400a
204,DOQHIB,http://dx.doi.org/10.1039/b814400a
205,DOQHOH,http://dx.doi.org/10.1039/b814400a
206,DOQRUW,http://dx.doi.org/10.1021/ic991355q
207,DORFOG,http://dx.doi.org/10.1021/ja8075692
208,DORYUG,http://dx.doi.org/10.1016/j.inoche.2014.07.023
209,DOTWAL,http://dx.doi.org/10.1007/s10870-008-9462-3
210,DOYBEA,http://dx.doi.org/10.1002/anie.201410459
211,DOYBUQ,http://dx.doi.org/10.1002/chem.201402292
212,DOYBUQ01,http://dx.doi.org/10.1002/chem.201402292
213,DUBJUH,http://dx.doi.org/10.1016/j.ica.2015.02.010
214,DUBKAO,http://dx.doi.org/10.1016/j.ica.2015.02.010
215,DUFXOT,http://dx.doi.org/10.1016/j.jssc.2015.07.008
216,DUJRAD,http://dx.doi.org/10.1002/zaac.201500028
217,DUKMON,http://dx.doi.org/10.1021/acs.cgd.5b00016
218,DUKYOZ,http://dx.doi.org/10.1021/acs.cgd.5b00083
219,DUMXEQ,http://dx.doi.org/10.1002/anie.201503636
220,DUMXEQ01,http://dx.doi.org/10.1002/anie.201503636
221,DUMXIU,http://dx.doi.org/10.1002/anie.201503636
222,DUQCAU,http://dx.doi.org/10.1107/S1600536809053598
223,DUQCAU01,not_exist
224,DUQSEO,http://dx.doi.org/10.1039/b919243c
225,DUYVEA,http://dx.doi.org/10.1039/C5DT03738G
226,DUZPUL,http://dx.doi.org/10.1002/zaac.201500567
227,DUZWOM,http://dx.doi.org/10.1002/zaac.201500581
228,EBANAY,http://dx.doi.org/10.1016/j.inoche.2011.06.017
229,EBAWIQ,http://dx.doi.org/10.1021/acs.cgd.6b01352
230,EBEMEE,http://dx.doi.org/10.1002/anie.200453923
231,EBEMII,http://dx.doi.org/10.1002/anie.200453923
232,EBEXEQ,http://dx.doi.org/10.1039/c1ce05468f
233,EBEXEQ01,http://dx.doi.org/10.1039/c1ce05468f
234,EBIPOX,http://dx.doi.org/10.1134/S0022476616020244
235,EBISEQ,http://dx.doi.org/10.3390/cryst6100132
236,EBOCOQ,http://dx.doi.org/10.1039/C6CE02122K
237,ECAHOH,http://dx.doi.org/10.1039/c1cc14115e
238,ECEDEY,not_exist
239,ECIWOC,http://dx.doi.org/10.1021/cm010301n
240,ECUTON,http://dx.doi.org/10.1007/s10904-012-9699-3
241,EDABOC,http://dx.doi.org/10.1007/s10904-011-9641-0
242,EDADET,http://dx.doi.org/10.1021/ic051707v
243,EFEGOM,http://dx.doi.org/10.1021/ja710973k
244,EHAFEA,http://dx.doi.org/10.1002/cplu.201402121
245,EHAFOK,http://dx.doi.org/10.1002/cplu.201402121
246,EHAFUQ,http://dx.doi.org/10.1002/cplu.201402121
247,EHAGAX,http://dx.doi.org/10.1002/cplu.201402121
248,EHAGIF,http://dx.doi.org/10.1002/cplu.201402121
249,EHAGOL,http://dx.doi.org/10.1002/cplu.201402121
250,EHAGUR,http://dx.doi.org/10.1002/cplu.201402121
251,EJEFOP,http://dx.doi.org/10.1080/00958972.2010.541905
252,EJIDUW02,http://dx.doi.org/10.1016/j.crci.2004.07.003
253,EJONOH,http://dx.doi.org/10.1039/c000586j
254,EJULUS,http://dx.doi.org/10.1080/15533174.2015.1004439
255,EKIJAL,http://dx.doi.org/10.1021/acs.inorgchem.5b02716
256,EKOKIA,http://dx.doi.org/10.1021/acs.cgd.6b00258
257,EKOPOK,http://dx.doi.org/10.1039/c0dt00390e
258,ELUJAY,http://dx.doi.org/10.1039/C6DT01360K
259,ELUJEC,http://dx.doi.org/10.1039/C6DT01360K
260,EMAMOW,http://dx.doi.org/10.1021/acs.inorgchem.6b01569
261,EMAMUC,http://dx.doi.org/10.1021/acs.inorgchem.6b01569
262,EMOFIX,http://dx.doi.org/10.1016/j.jssc.2016.05.023
263,EMOHIZ,http://dx.doi.org/10.1016/j.jssc.2016.05.023
264,ENANIS,http://dx.doi.org/10.1021/ja506357n
265,EQIWAD,not_exist
266,EQOCIW,http://dx.doi.org/10.1002/chem.200304957
267,EQUBIC,http://dx.doi.org/10.1021/ic902241n
268,EQUBUO,http://dx.doi.org/10.1021/ic902241n
269,ERUVEU,http://dx.doi.org/10.1039/C6CE01311B
270,ESARAT,http://dx.doi.org/10.1021/acs.cgd.6b00912
271,ESAROH,http://dx.doi.org/10.1021/acs.cgd.6b00912
272,ESARUN,http://dx.doi.org/10.1021/acs.cgd.6b00912
273,ESEHIV,http://dx.doi.org/10.1007/s10870-016-0652-0
274,ESUMOU,http://dx.doi.org/10.1002/ejic.200300506
275,ESURER04,http://dx.doi.org/10.1039/C6TC05082D
276,ESUSAO01,http://dx.doi.org/10.1021/jacs.5b09231
277,ETEJUJ,http://dx.doi.org/10.1039/c1ce05069a
278,ETEKAQ,http://dx.doi.org/10.1039/c1ce05069a
279,ETEKEU,http://dx.doi.org/10.1039/c1ce05069a
280,ETIXEM,http://dx.doi.org/10.1021/acscentsci.6b00168
281,EVOMOR01,http://dx.doi.org/10.1021/ic0301268
282,EVUNOY,http://dx.doi.org/10.1023/B:JOCC.0000014682.15837.83
283,EVUQOC,http://dx.doi.org/10.1021/cg200350j
284,EWUCOP,http://dx.doi.org/10.1021/ic1017467
285,EXIBUI,not_exist
286,EXOZEX,http://dx.doi.org/10.1039/c1dt10822k
287,EXUHEM,http://dx.doi.org/10.1080/15533174.2016.1186037
288,EXUHUC,http://dx.doi.org/10.1080/15533174.2016.1186043
289,EYULOA,http://dx.doi.org/10.1039/c1ce05103b
290,EZABEN,http://dx.doi.org/10.1039/c0ce00762e
291,EZEQEH,http://dx.doi.org/10.1039/C6RA16784E
292,EZEQOR,http://dx.doi.org/10.1039/C6RA16784E
293,EZEQUX,http://dx.doi.org/10.1039/C6RA16784E
294,EZUCIM,http://dx.doi.org/10.1039/c1cc13877d
295,EZUCOS,http://dx.doi.org/10.1039/c1cc13877d
296,EZULAO,http://dx.doi.org/10.1080/15533174.2016.1186050
297,FAFDEX,http://dx.doi.org/10.1039/b925546j
298,FAFMAC,http://dx.doi.org/10.1107/S0108270110032609
299,FAGXIX,http://dx.doi.org/10.1039/C5CE02172C
300,FALDAA,http://dx.doi.org/10.1016/j.inoche.2017.02.009
301,FALQIU,http://dx.doi.org/10.1039/c1ce05864a
302,FAQVEA,http://dx.doi.org/10.1039/c1ce05829k
303,FATLUJ,http://dx.doi.org/10.1021/cg201594p
304,FAVGAN,http://dx.doi.org/10.1021/acs.cgd.6b01763
305,FAVGER,http://dx.doi.org/10.1021/acs.cgd.6b01763
306,FAVGIV,http://dx.doi.org/10.1021/acs.cgd.6b01763
307,FAVGOB,http://dx.doi.org/10.1021/acs.cgd.6b01763
308,FAVGUH,http://dx.doi.org/10.1021/acs.cgd.6b01763
309,FAVHAO,http://dx.doi.org/10.1021/acs.cgd.6b01763
310,FAVHES,http://dx.doi.org/10.1021/acs.cgd.6b01763
311,FAVHIW,http://dx.doi.org/10.1021/acs.cgd.6b01763
312,FAVZEJ,http://dx.doi.org/10.1007/s10904-011-9622-3
313,FAZPED,http://dx.doi.org/10.1039/c2dt30262d
314,FEDBEX,not_exist
315,FERVIJ,http://dx.doi.org/10.1002/chem.201203559
316,FERVOP,http://dx.doi.org/10.1002/chem.201203559
317,FERWAC,not_exist
318,FEVDER,http://dx.doi.org/10.1016/j.micromeso.2013.01.020
319,FEVDIV,http://dx.doi.org/10.1016/j.micromeso.2013.01.020
320,FEXCES,http://dx.doi.org/10.1021/cg301413u
321,FIBHIJ,http://dx.doi.org/10.1039/c3sc00016h
322,FIFPAM,http://dx.doi.org/10.1021/ic049170t
323,FIGQUJ,http://dx.doi.org/10.1016/j.ica.2013.05.009
324,FIGXAU,http://dx.doi.org/10.1016/0022-5088(86)90079-2
325,FIGXEY,http://dx.doi.org/10.1016/0022-5088(86)90079-2
326,FIHXUR,http://dx.doi.org/10.1016/j.ica.2013.06.014
327,FIJCUX01,http://dx.doi.org/10.1016/j.jssc.2004.12.004
328,FIJFUA,http://dx.doi.org/10.1021/ja045123o
329,FIMXUW,http://dx.doi.org/10.1016/j.inoche.2013.03.035
330,FIPJAR,not_exist
331,FIPWOS,http://dx.doi.org/10.1002/anie.201307074
332,FIPXEJ,http://dx.doi.org/10.1002/anie.201307074
333,FIQYOU,http://dx.doi.org/10.1002/ejic.200400395
334,FIQZEM,http://dx.doi.org/10.1080/15533174.2013.771664
335,FIVNAZ,not_exist
336,FIVYUF,http://dx.doi.org/10.1021/ja0437095
337,FOCZAA,http://dx.doi.org/10.1002/anie.201307656
338,FODCEI,http://dx.doi.org/10.1021/cg401935z
339,FOHCAH,http://dx.doi.org/10.1107/S1600536805014625
340,FOHCIP,http://dx.doi.org/10.1107/S1600536805015394
341,FOHSAW01,http://dx.doi.org/10.1107/S1600536810049779
342,FOJKIA,http://dx.doi.org/10.1016/j.inoche.2014.03.011
343,FOJVUX,http://dx.doi.org/10.1016/j.inoche.2014.02.051
344,FOKWIN,http://dx.doi.org/10.1016/j.inoche.2014.04.021
345,FOKYEL,http://dx.doi.org/10.1016/j.inoche.2014.04.016
346,FONKEA,http://dx.doi.org/10.1039/C4CE01602E
347,FUMHEC,http://dx.doi.org/10.1080/15533174.2013.865228
348,FUNBAS,http://dx.doi.org/10.1021/ja909519e
349,FURFOP,http://dx.doi.org/10.1016/j.molstruc.2015.08.068
350,FURQOZ01,http://dx.doi.org/10.1002/chem.200900010
351,FURREQ,http://dx.doi.org/10.1002/chem.200900010
352,FURSES,http://dx.doi.org/10.1039/C5RA15937G
353,FUYYAA,http://dx.doi.org/10.1016/j.inoche.2010.04.027
354,FUZKAN,not_exist
355,GACPUX,http://dx.doi.org/10.1002/chem.201000522
356,GADDOH,http://dx.doi.org/10.1039/C5DT04687D
357,GAJTOC,http://dx.doi.org/10.1016/j.ica.2010.06.045
358,GAJZAU,http://dx.doi.org/10.1039/b9nj00456d
359,GAJZEY,http://dx.doi.org/10.1039/b9nj00456d
360,GAJZIC,http://dx.doi.org/10.1039/b9nj00456d
361,GAJZOI,http://dx.doi.org/10.1039/b9nj00456d
362,GAJZUO,http://dx.doi.org/10.1039/b9nj00456d
363,GARMAQ,http://dx.doi.org/10.1021/acs.cgd.7b00112
364,GASSUR,http://dx.doi.org/10.1021/acs.cgd.7b00042
365,GATHAL,http://dx.doi.org/10.1039/b506677h
366,GAWCUF,http://dx.doi.org/10.1039/C7NJ00188F
367,GAXGOD,http://dx.doi.org/10.1039/c2ce25099c
368,GEDLIM,http://dx.doi.org/10.1021/ic300235s
369,GEFZAU,http://dx.doi.org/10.1021/cm202608f
370,GELJAJ,http://dx.doi.org/10.1016/j.poly.2006.01.031
371,GELVEZ01,http://dx.doi.org/10.1039/c0dt01687j
372,GELVEZ02,http://dx.doi.org/10.1039/c0dt01687j
373,GELVID,http://dx.doi.org/10.1016/j.solidstatesciences.2006.04.013
374,GELVID01,http://dx.doi.org/10.1039/c0dt01687j
375,GEPDEM,http://dx.doi.org/10.1016/j.inoche.2012.09.024
376,GERNOI,http://dx.doi.org/10.1071/CH12270
377,GIQXIO,http://dx.doi.org/10.1021/ic0621695
378,GIQXOU,http://dx.doi.org/10.1021/ic0621695
379,GIQXUA,http://dx.doi.org/10.1021/ic0621695
380,GIQYAH,http://dx.doi.org/10.1021/ic0621695
381,GIQYEL,http://dx.doi.org/10.1021/ic0621695
382,GIQYIP,http://dx.doi.org/10.1021/ic0621695
383,GIQYOV,http://dx.doi.org/10.1021/ic0621695
384,GIQYUB,http://dx.doi.org/10.1021/ic0621695
385,GIRYIR,http://dx.doi.org/10.1039/C3CC49106D
386,GISMIG,http://dx.doi.org/10.5012/bkcs.2013.34.9.2800
387,GISWEM,http://dx.doi.org/10.1039/C3CE42203H
388,GITZAM,http://dx.doi.org/10.1039/C3CE42339E
389,GIXNAE,http://dx.doi.org/10.1016/j.jssc.2013.11.011
390,GOJDOZ,http://dx.doi.org/10.1021/cg800389g
391,GOLQII,http://dx.doi.org/10.1107/S1600536809005947
392,GONNAA,http://dx.doi.org/10.1039/C4DT01022A
393,GONTAG,http://dx.doi.org/10.1039/C4CE01019A
394,GOQXAN,http://dx.doi.org/10.1007/s12039-014-0714-9
395,GOYXAV,http://dx.doi.org/10.1016/j.jssc.2014.11.022
396,GOYXID,http://dx.doi.org/10.1016/j.jssc.2014.11.022
397,GOYXOJ,http://dx.doi.org/10.1016/j.jssc.2014.11.022
398,GOYXUP,http://dx.doi.org/10.1016/j.jssc.2014.11.022
399,GOYYAW,http://dx.doi.org/10.1016/j.jssc.2014.11.022
400,GOYYEA,http://dx.doi.org/10.1016/j.jssc.2014.11.022
401,GOYYIE,http://dx.doi.org/10.1016/j.jssc.2014.11.022
402,GUBVUU,http://dx.doi.org/10.1021/ja982577a
403,GUFXEM,http://dx.doi.org/10.1002/zaac.201400474
404,GULPIN,http://dx.doi.org/10.1016/j.inoche.2009.04.010
405,GUMDEZ,http://dx.doi.org/10.1007/s40242-014-3501-8
406,GUPJEG,http://dx.doi.org/10.1002/1521-3749(200102)627:2%3C131::AID-ZAAC131%3E3.3.CO;2-R
407,GUQWOG,http://dx.doi.org/10.1021/acs.inorgchem.5b02739
408,GURZID,http://dx.doi.org/10.1016/j.ica.2009.12.026
409,GURZID01,http://dx.doi.org/10.1016/j.ica.2013.09.026
410,GUSCIH,http://dx.doi.org/10.1016/j.ica.2009.12.022
411,HABRIN,http://dx.doi.org/10.1002/anie.201001675
412,HAJJAE,http://dx.doi.org/10.1039/b406883a
413,HAJLIO,http://dx.doi.org/10.1039/b409543j
414,HAKWUM,http://dx.doi.org/10.1021/cm049607v
415,HALVAU,http://dx.doi.org/10.1039/C6DT04270H
416,HAPGIR,http://dx.doi.org/10.1002/zaac.201700032
417,HAPNOE,http://dx.doi.org/10.1039/C7CC01898C
418,HAPNUK,http://dx.doi.org/10.1039/C7CC01898C
419,HARNAR,http://dx.doi.org/10.1039/c2nj20888a
420,HAWREE,http://dx.doi.org/10.1021/ic2021929
421,HAWWIN,http://dx.doi.org/10.1021/ic201986m
422,HAWWOT,http://dx.doi.org/10.1021/ic201986m
423,HAWWUZ,http://dx.doi.org/10.1021/ic201986m
424,HAWZEM,http://dx.doi.org/10.1016/j.inoche.2011.12.041
425,HAZNON,http://dx.doi.org/10.1002/chem.201200909
426,HEBJAB,http://dx.doi.org/10.1021/cg300829c
427,HEBKEG,http://dx.doi.org/10.1021/cg3008443
428,HEBTEP,http://dx.doi.org/10.1016/j.solidstatesciences.2012.07.011
429,HEDCIE,http://dx.doi.org/10.1021/ic300778m
430,HEDGUS,http://dx.doi.org/10.1002/(SICI)1521-3773(19990115)38:1/2%3C140::AID-ANIE140%3E3.0.CO;2-9
